Name,Firm Name,Ticker,SecId,Inception Date,Morningstar Category,US Category Group,Share Class Type,Oldest Share Class,Inception Date of Fund's Oldest Share Class,Ticker of Fund's Oldest Share Class,Index Fund,Obsolete Date,Obsolete Type,Merged Into Security,Research Flagship Fund Name,Net Assets - Share Class (mo-end) USD,Fund Size Comprehensive (mo-end) USD,Total Ret % Rank Cat 3Y mo-end (mo-end),Morningstar Rating 3Y (mo-end),Morningstar Sustainability Rating (mo-end),Morningstar Analyst Rating (day-end),Morningstar Category Primary Benchmark,Total Return (3Y - mo-end),Alpha Total (excess return) (3Y - mo-end) Cat Curr,Beta Total (excess return) (3Y - mo-end) Cat Curr,Standard Deviation Total (3Y - mo-end) Cat Curr,Sharpe Ratio Total Morningstar (3Y - mo-end) Cat Curr
MFS Growth EA,MFS,,FOUSA02V8D,20020731,Large Growth,U.S. Equity,A,No,19861229,MEGBX,No,20070321,Liquidated,,,"868,858.0000000000","26,723,848,166.3500000000",,3 Stars,,,S&P 500 TR USD,,,,,
MFS Growth EB,MFS,EBEGX,FOUSA02V8E,20020731,Large Growth,U.S. Equity,Other,No,19861229,MEGBX,No,20070321,Liquidated,,,"230,985.0000000000","26,723,848,166.3500000000",,3 Stars,,,S&P 500 TR USD,,,,,
MFS Growth EC,MFS,ECEGX,FOUSA02V8F,20020731,Large Growth,U.S. Equity,Other,No,19861229,MEGBX,No,20070321,Liquidated,,,"118,447.0000000000","26,723,848,166.3500000000",,3 Stars,,,S&P 500 TR USD,,,,,
Berger Mid Cap Growth,Janus Henderson,,FOUSA00I0G,19971231,Mid-Cap Growth,U.S. Equity,,No,19920901,JANEX,No,20030421,Merged,Janus Henderson Enterprise T,,"78,191,234.0000000000","23,013,946,559.5600000000",,,,,S&P 500 TR USD,,,,,
Columbia Dividend Income G,Columbia,GEQBX,FOUSA00KW9,19980304,Large Value,U.S. Equity,Other,No,19980304,GSFTX,No,20070808,Merged,Columbia Dividend Income V,,"1,132,083.0000000000","19,629,134,279.2100000000",,3 Stars,,,S&P 500 TR USD,,,,,
Galaxy Equity Income Ret A,Columbia,,FOUSA00CVW,19901214,Large Value,U.S. Equity,A,No,19980304,GSFTX,No,20021125,Merged,Columbia Dividend Income V,,"97,521,425.0000000000","19,629,134,279.2100000000",,,,,S&P 500 TR USD,,,,,
Galaxy Equity Income Ret B,Columbia,,FOUSA00OU4,19981030,Large Value,U.S. Equity,B,No,19980304,GSFTX,No,20021125,Merged,Columbia Dividend Income G,,"9,563,740.0000000000","19,629,134,279.2100000000",,,,,S&P 500 TR USD,,,,,
Galaxy Equity Income Tr,Columbia,,FOUSA00CXC,19940930,Large Value,U.S. Equity,Other,No,19980304,GSFTX,No,20021125,Merged,Columbia Dividend Income Inst,,"74,496,906.0000000000","19,629,134,279.2100000000",,,,,S&P 500 TR USD,,,,,
Berger Balanced,Janus Henderson,,FOUSA00H74,19970930,Allocation--50% to 70% Equity,Allocation,,No,19920901,JANBX,No,20030421,Merged,Janus Henderson Balanced T,,"46,704,498.0000000000","19,538,637,017.3400000000",,,,,Morningstar Mod Tgt Risk TR USD,,,,,
Mercury Total Return Bond A,BlackRock,,FOUSA00HCO,19990602,Intermediate Core-Plus Bond,Taxable Bond,A,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Inv A,,"51,172,377.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Mercury Total Return Bond B,BlackRock,,FOUSA00L9A,20001006,Intermediate Core-Plus Bond,Taxable Bond,B,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Inv B,,"422,221.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Mercury Total Return Bond C,BlackRock,,FOUSA00L64,20001006,Intermediate Core-Plus Bond,Taxable Bond,C,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Inv C1,,"6,795.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Mercury Total Return Bond I,BlackRock,,FOUSA00CGW,19941206,Intermediate Core-Plus Bond,Taxable Bond,Inst,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Instl,,"62,155,729.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Global Bond for Invmt A,BlackRock,,FOUSA00DT5,19881025,Intermediate Core-Plus Bond,Taxable Bond,A,No,20011207,MPHQX,No,20030321,Merged,BlackRock Total Return Instl,,"8,005,949.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Global Bond for Invmt B,BlackRock,,FOUSA00DTZ,19860829,Intermediate Core-Plus Bond,Taxable Bond,B,No,20011207,MPHQX,No,20030321,Merged,BlackRock Total Return Inv B,,"12,944,623.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Global Bond for Invmt C,BlackRock,,FOUSA00FEI,19941021,Intermediate Core-Plus Bond,Taxable Bond,C,No,20011207,MPHQX,No,20030321,Merged,BlackRock Total Return Inv C1,,"883,665.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Global Bond for Invmt D,BlackRock,,FOUSA00CTZ,19941021,Intermediate Core-Plus Bond,Taxable Bond,D,No,20011207,MPHQX,No,20030321,Merged,BlackRock Total Return Inv A,,"30,170,821.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Total Return Bond A,BlackRock,,FOUSA02SYR,20001006,Intermediate Core-Plus Bond,Taxable Bond,A,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Instl,,"1,131,369.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Total Return Bond B,BlackRock,,FOUSA02SYH,20001006,Intermediate Core-Plus Bond,Taxable Bond,B,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Inv B,,"16,068,187.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Total Return Bond C,BlackRock,,FOUSA02SYV,20001006,Intermediate Core-Plus Bond,Taxable Bond,C,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Inv C1,,"17,328,748.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Total Return Bond D,BlackRock,,FOUSA02SYJ,20001006,Intermediate Core-Plus Bond,Taxable Bond,D,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Inv A,,"12,825,213.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Smith Barney Large Cap Growth Z,Legg Mason,,FOUSA00JI2,19970829,Large Growth,U.S. Equity,Inst,No,19970829,SBLGX,No,20030421,Liquidated,,,"170,130,349.0000000000","16,040,687,005.7300000000",,,,,S&P 500 TR USD,,,,,
Smith Barney Peachtree Growth A,Legg Mason,,FOUSA00E5V,19950703,Large Growth,U.S. Equity,A,No,19970829,SBLGX,No,20030505,Merged,ClearBridge Large Cap Growth A,,"40,636,808.0000000000","16,040,687,005.7300000000",,,,,S&P 500 TR USD,,,,,
Smith Barney Peachtree Growth B,Legg Mason,,FOUSA00DBR,19950703,Large Growth,U.S. Equity,B,No,19970829,SBLGX,No,20030505,Merged,ClearBridge Large Cap Growth B,,"25,606,891.0000000000","16,040,687,005.7300000000",,,,,S&P 500 TR USD,,,,,
Smith Barney Peachtree Growth L,Legg Mason,,FOUSA00DXH,19950808,Large Growth,U.S. Equity,Other,No,19970829,SBLGX,No,20030505,Merged,ClearBridge Large Cap Growth C,,"88,700.0000000000","16,040,687,005.7300000000",,,,,S&P 500 TR USD,,,,,
Smith Barney Peachtree Growth Y,Legg Mason,,FOUSA00CLD,19971015,Large Growth,U.S. Equity,Inst,No,19970829,SBLGX,No,20030505,Merged,ClearBridge Large Cap Growth I,,"82,157,272.0000000000","16,040,687,005.7300000000",,,,,S&P 500 TR USD,,,,,
JP Morgan Core Equity A,JPMorgan,,FOUSA00I07,19980910,Large Blend,U.S. Equity,A,No,19930917,JMUEX,No,20030324,Merged,JPMorgan US Equity A,,"11,325,229.0000000000","15,489,675,447.3600000000",,,,,S&P 500 TR USD,,,,,
JP Morgan Core Equity B,JPMorgan,,FOUSA02SLL,20010220,Large Blend,U.S. Equity,B,No,19930917,JMUEX,No,20030324,Merged,JPMorgan US Equity B,,"10,386,509.0000000000","15,489,675,447.3600000000",,,,,S&P 500 TR USD,,,,,
JP Morgan Core Equity C,JPMorgan,,FOUSA02SMA,20010220,Large Blend,U.S. Equity,C,No,19930917,JMUEX,No,20030324,Merged,JPMorgan US Equity C,,"2,936,154.0000000000","15,489,675,447.3600000000",,,,,S&P 500 TR USD,,,,,
JP Morgan Core Equity Sel,JPMorgan,,FOUSA00CBF,19930401,Large Blend,U.S. Equity,Other,No,19930917,JMUEX,No,20030324,Merged,JPMorgan US Equity I,,"43,367,273.0000000000","15,489,675,447.3600000000",,,,,S&P 500 TR USD,,,,,
JP Morgan Focus A,JPMorgan,,FOUSA00JVR,19980630,Large Blend,U.S. Equity,A,No,19930917,JMUEX,No,20030324,Merged,JPMorgan US Equity A,,"3,323,347.0000000000","15,489,675,447.3600000000",,,,,S&P 500 TR USD,,,,,
JP Morgan Focus B,JPMorgan,,FOUSA00GNJ,19980630,Large Blend,U.S. Equity,B,No,19930917,JMUEX,No,20030324,Merged,JPMorgan US Equity B,,"4,393,977.0000000000","15,489,675,447.3600000000",,,,,S&P 500 TR USD,,,,,
JP Morgan Focus C,JPMorgan,,FOUSA00GCP,19980630,Large Blend,U.S. Equity,C,No,19930917,JMUEX,No,20030324,Merged,JPMorgan US Equity C,,"982,560.0000000000","15,489,675,447.3600000000",,,,,S&P 500 TR USD,,,,,
JP Morgan Focus Sel,JPMorgan,,FOUSA00KWR,19980630,Large Blend,U.S. Equity,Other,No,19930917,JMUEX,No,20030324,Merged,JPMorgan US Equity I,,"36,737.0000000000","15,489,675,447.3600000000",,,,,S&P 500 TR USD,,,,,
JPM Advisor Selected U.S. Equity,JPMorgan,,FOUSA00MPF,19960205,Large Blend,U.S. Equity,Other,No,19930917,JMUEX,No,19961115,Liquidated,,,"18,578.0000000000","15,489,675,447.3600000000",,,,,S&P 500 TR USD,,,,,
EV Atlanta Capital Small-Cap R,Eaton Vance,,FOUSA02V7A,20020430,Mid-Cap Growth,U.S. Equity,Retirement,No,20020430,EISMX,No,20040910,Liquidated,,,"1,065.0000000000","13,063,719,132.0000000000",,,,,S&P 500 TR USD,,,,,
Merrill Lynch Municipal Interm-Term C,BlackRock,MCMTX,FOUSA00CN8,19941021,Muni National Interm,Municipal Bond,C,No,19881031,MAMTX,No,20060825,Merged,BlackRock Strategic Muni Opps Inv A1,,"23,903,882.0000000000","12,609,698,679.7300000000",,3 Stars,,,BBgBarc Municipal TR USD,,,,,
Principal Inv European AdvPfd,Principal Funds,,FOUSA00LNL,20001206,Foreign Large Blend,International Equity,Adv,No,20001206,PINPX,No,20021030,Merged,Principal Diversified Intl R3,,"763,490.0000000000","12,349,639,985.2100000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Principal Inv European AdvSel,Principal Funds,,FOUSA00LME,20001206,Foreign Large Blend,International Equity,Adv,No,20001206,PINPX,No,20021030,Merged,Principal Diversified Intl R2,,"1,207,216.0000000000","12,349,639,985.2100000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Principal Inv European Instl,Principal Funds,,FOUSA02UN7,20010301,Foreign Large Blend,International Equity,Inst,No,20001206,PINPX,No,20021030,Merged,Principal Diversified Intl Inst,,"9,241.0000000000","12,349,639,985.2100000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Principal Inv European J,Principal Funds,,FOUSA02UIN,20010301,Foreign Large Blend,International Equity,Retirement,No,20001206,PINPX,No,20021030,Merged,Principal Diversified Intl J,,"434,244.0000000000","12,349,639,985.2100000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Principal Inv European Pfd,Principal Funds,,FOUSA00LMZ,20001206,Foreign Large Blend,International Equity,Other,No,20001206,PINPX,No,20021030,Merged,Principal Diversified Intl R5,,"744,973.0000000000","12,349,639,985.2100000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Principal Inv European Sel,Principal Funds,,FOUSA00LNB,20001206,Foreign Large Blend,International Equity,Other,No,20001206,PINPX,No,20021030,Merged,Principal Diversified Intl R4,,"764,438.0000000000","12,349,639,985.2100000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Principal Inv Pacific Basin AdvPfd,Principal Funds,,FOUSA00LLK,20001206,Foreign Large Blend,International Equity,Adv,No,20001206,PINPX,No,20021030,Merged,Principal Diversified Intl R3,,"746,815.0000000000","12,349,639,985.2100000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Principal Inv Pacific Basin AdvSel,Principal Funds,,FOUSA00LK5,20001206,Foreign Large Blend,International Equity,Adv,No,20001206,PINPX,No,20021030,Merged,Principal Diversified Intl R2,,"745,967.0000000000","12,349,639,985.2100000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Principal Inv Pacific Basin Instl,Principal Funds,,FOUSA02UNO,20010301,Foreign Large Blend,International Equity,Inst,No,20001206,PINPX,No,20021030,Merged,Principal Diversified Intl Inst,,"6,679.0000000000","12,349,639,985.2100000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Principal Inv Pacific Basin J,Principal Funds,,FOUSA02UJ4,20010301,Foreign Large Blend,International Equity,Retirement,No,20001206,PINPX,No,20021030,Merged,Principal Diversified Intl J,,"278,358.0000000000","12,349,639,985.2100000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Principal Inv Pacific Basin Pfd,Principal Funds,,FOUSA00LK4,20001206,Foreign Large Blend,International Equity,Other,No,20001206,PINPX,No,20021030,Merged,Principal Diversified Intl R5,,"741,764.0000000000","12,349,639,985.2100000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Principal Inv Pacific Basin Sel,Principal Funds,,FOUSA00LLG,20001206,Foreign Large Blend,International Equity,Other,No,20001206,PINPX,No,20021030,Merged,Principal Diversified Intl R4,,"747,674.0000000000","12,349,639,985.2100000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Franklin TX Tax-Free Income A,Franklin Templeton Investments,,FOUSA00CT5,19870901,Muni National Long,Municipal Bond,A,No,19831007,FKTIX,No,20030220,Merged,Franklin Federal Tax Free Income A1,,"97,257,305.0000000000","10,983,591,828.0700000000",,,,,BBgBarc Municipal TR USD,,,,,
Franklin TX Tax-Free Income C,Franklin Templeton Investments,,FOUSA00FRO,19950501,Muni National Long,Municipal Bond,C,No,19831007,FKTIX,No,20030220,Merged,Franklin Federal Tax Free Income C,,"4,894,703.0000000000","10,983,591,828.0700000000",,,,,BBgBarc Municipal TR USD,,,,,
Columbia Common Stock G,Columbia,,FOUSA00HTK,19960304,Large Blend,U.S. Equity,Other,No,19921214,SMGIX,No,20070808,Merged,Columbia Contrarian Core V,,"2,943,065.0000000000","10,054,407,248.1800000000",,3 Stars,,,S&P 500 TR USD,,,,,
Galaxy Large Cap Value Ret A,Columbia,,FOUSA00ENB,19920401,Large Blend,U.S. Equity,A,No,19921214,SMGIX,No,20021209,Merged,Columbia Contrarian Core V,,"6,662,659.0000000000","10,054,407,248.1800000000",,,,,S&P 500 TR USD,,,,,
Galaxy Large Cap Value Ret B,Columbia,,FOUSA00KMB,19970512,Large Blend,U.S. Equity,B,No,19921214,SMGIX,No,20021209,Merged,Columbia Common Stock G,,"12,889,308.0000000000","10,054,407,248.1800000000",,,,,S&P 500 TR USD,,,,,
Galaxy Large Cap Value Tr,Columbia,,FOUSA00EL5,19920401,Large Blend,U.S. Equity,Other,No,19921214,SMGIX,No,20021209,Merged,Columbia Contrarian Core Inst,,"65,427,060.0000000000","10,054,407,248.1800000000",,,,,S&P 500 TR USD,,,,,
ING Intermediate Bond X,Voya,,FOUSA00NZ8,19990111,Intermediate Core-Plus Bond,Taxable Bond,,No,19981215,IIBAX,No,20001120,Merged,Voya Intermediate Bond B,,"551,478.0000000000","8,655,339,427.5500000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
MFS® Massachusetts Inv Gr Stk J,MFS,MIGJX,FOUSA02TN8,20001218,Large Growth,U.S. Equity,Retirement,No,19350101,MIGFX,No,20070615,Liquidated,,,"1,139,565.0000000000","8,588,724,863.6100000000",,2 Stars,,,S&P 500 TR USD,,,,,
WM Income R1,Principal Funds,CNRCX,FOUSA05HEB,20060228,Intermediate Core Bond,Taxable Bond,Retirement,No,19751215,CMPIX,No,20070116,Merged,Principal Income A,,10.0000000000,"8,492,025,359.0200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
WM Income R2,Principal Funds,CNRRX,FOUSA05HED,20060228,Intermediate Core Bond,Taxable Bond,Retirement,No,19751215,CMPIX,No,20070116,Merged,Principal Income A,,10.0000000000,"8,492,025,359.0200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
WM Income S,Principal Funds,,FOUSA00OME,19980323,Intermediate Core Bond,Taxable Bond,S,No,19751215,CMPIX,No,19990716,Merged,Principal Income B,,"1,316,817.0000000000","8,492,025,359.0200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
American Century Growth Fd C,American Century Investments,,FOUSA02U88,20011128,Large Growth,U.S. Equity,C,No,19710630,TWCGX,No,20071130,Merged,American Century Growth A,,"1,492,900.0000000000","8,422,165,111.0100000000",,3 Stars,,,S&P 500 TR USD,,,,,
WM Bond & Stock I,Principal Funds,,FOUSA00OR0,19980323,Large Value,U.S. Equity,Inst,No,19390531,PQIAX,No,19990803,Liquidated,,,,"8,309,847,017.5500000000",,,,,S&P 500 TR USD,,,,,
WM Bond & Stock S,Principal Funds,,FOUSA00NZM,19980323,Large Value,U.S. Equity,S,No,19390531,PQIAX,No,19990716,Merged,Principal Equity Income B,,"41,895.0000000000","8,309,847,017.5500000000",,,,,S&P 500 TR USD,,,,,
WM Equity Income R1,Principal Funds,,FOUSA05HDR,20060228,Large Value,U.S. Equity,Retirement,No,19390531,PQIAX,No,20070116,Merged,Principal Equity Income A,,"622,229.0000000000","8,309,847,017.5500000000",,,,,S&P 500 TR USD,,,,,
WM Equity Income R2,Principal Funds,,FOUSA05HDS,20060228,Large Value,U.S. Equity,Retirement,No,19390531,PQIAX,No,20070116,Merged,Principal Equity Income A,,"538,649.0000000000","8,309,847,017.5500000000",,,,,S&P 500 TR USD,,,,,
RiverSource New Dimensions A,Columbia,,FOUSA00D5R,19680730,Large Growth,U.S. Equity,A,Yes,19680730,,No,20060310,Merged,RiverSource Large Cap Equity A,,"5,120,056,208.0000000000","8,166,295,244.0000000000",,1 Star,,,S&P 500 TR USD,,,,,
RiverSource New Dimensions B,Columbia,,FOUSA00BS9,19950320,Large Growth,U.S. Equity,B,No,19680730,,No,20060310,Merged,RiverSource Large Cap Equity B,,"1,273,622,771.0000000000","8,166,295,244.0000000000",,1 Star,,,S&P 500 TR USD,,,,,
RiverSource New Dimensions C,Columbia,,FOUSA00L5P,20000627,Large Growth,U.S. Equity,C,No,19680730,,No,20060310,Merged,RiverSource Large Cap Equity C,,"32,071,801.0000000000","8,166,295,244.0000000000",,1 Star,,,S&P 500 TR USD,,,,,
RiverSource New Dimensions I,Columbia,,FOUSA05C4S,20040304,Large Growth,U.S. Equity,,No,19680730,,No,20060310,Merged,RiverSource Large Cap Equity I,,,"8,166,295,244.0000000000",,,,,S&P 500 TR USD,,,,,
RiverSource New Dimensions Y,Columbia,,FOUSA00E6D,19950320,Large Growth,U.S. Equity,Inst,No,19680730,,No,20060310,Merged,RiverSource Large Cap Equity R4,,"1,740,544,464.0000000000","8,166,295,244.0000000000",,2 Stars,,,S&P 500 TR USD,,,,,
Goldman Sachs Short Durat T/F Admin,Goldman Sachs,,FOUSA00NMR,19930520,Muni National Short,Municipal Bond,Other,No,19921001,GSDUX,No,19990715,Liquidated,,,"60,378.0000000000","8,145,970,213.7100000000",,,,,BBgBarc Municipal TR USD,,,,,
Janus 2,Janus Henderson,,FOUSA00P75,20001229,Large Growth,U.S. Equity,,No,19700205,,No,20030228,Merged,Janus T,,"204,790,748.0000000000","7,878,091,745.0000000000",,,,,S&P 500 TR USD,,,,,
State Street Research Health Sci B,BlackRock,,FOUSA02SV0,20001017,Health,Sector Equity,B,No,19991221,SHSAX,No,20050131,Merged,BlackRock Health Sciences Opps Inv A,,"3,430,520.0000000000","7,682,130,120.4900000000",,,,,MSCI ACWI NR USD,,,,,
Lord Abbett World Bond Debenture A,Lord Abbett,,FOUSA00IF9,19980318,High Yield Bond,Taxable Bond,A,No,19981231,LHYAX,No,20021016,Merged,Lord Abbett High Yield A,,"6,539,443.0000000000","7,141,838,751.0000000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Lord Abbett World Bond Debenture B,Lord Abbett,,FOUSA00KXX,19980318,High Yield Bond,Taxable Bond,B,No,19981231,LHYAX,No,20021016,Merged,Lord Abbett High Yield B,,"1,723,828.0000000000","7,141,838,751.0000000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Lord Abbett World Bond Debenture C,Lord Abbett,,FOUSA00IVP,19980318,High Yield Bond,Taxable Bond,C,No,19981231,LHYAX,No,20021016,Merged,Lord Abbett High Yield C,,"1,387,264.0000000000","7,141,838,751.0000000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Columbia Balanced D,Columbia,,FOUSA02VOL,20021031,Allocation--50% to 70% Equity,Allocation,D,No,19911001,CBALX,No,20070808,Merged,Columbia Balanced C,,"215,053.0000000000","7,123,753,045.7000000000",,3 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
Smith Barney Aggressive Growth Z,Legg Mason,,FOUSA00COG,19921106,Large Growth,U.S. Equity,Inst,No,19831024,SHRAX,No,20030421,Liquidated,,,"349,538,027.0000000000","7,059,208,825.5700000000",,,,,S&P 500 TR USD,,,,,
Harris Insight Emerging Markets B,Virtus,HEMBX,FOUSA02UPF,20020417,Diversified Emerging Mkts,International Equity,B,No,19971020,HIEMX,No,20060830,Liquidated,,,"7,292.0000000000","7,027,028,596.4200000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Virtus Emerging Markets Opportunities N,Virtus,,FOUSA007QO,19971021,Diversified Emerging Mkts,International Equity,N,No,19971020,HIEMX,No,20060626,Merged,Virtus Vontobel Emerging Markets Opps A,,"5,157,206.0000000000","7,027,028,596.4200000000",,1 Star,,,MSCI ACWI Ex USA NR USD,,,,,
Legg Mason Partners CapInc SmB O,Legg Mason,SPTCX,FOUSA00CWF,19930601,Large Blend,U.S. Equity,Other,No,19921106,SOPAX,No,20060421,Merged,ClearBridge Dividend Strategy A,,"2,479.0000000000","6,815,059,769.1100000000",,4 Stars,,,S&P 500 TR USD,,,,,
SB Capital & Income SalomonBrothers A,Legg Mason,,FOUSA05H44,20030804,Large Blend,U.S. Equity,,No,19921106,SOPAX,No,20060421,Merged,ClearBridge Dividend Strategy A,,,"6,815,059,769.1100000000",,,,,S&P 500 TR USD,,,,,
SB Capital & Income SalomonBrothers B,Legg Mason,,FOUSA05H45,20030923,Large Blend,U.S. Equity,,No,19921106,SOPAX,No,20060421,Merged,ClearBridge Dividend Strategy A,,,"6,815,059,769.1100000000",,,,,S&P 500 TR USD,,,,,
SB Capital & Income SalomonBrothers C,Legg Mason,,FOUSA05H46,20030923,Large Blend,U.S. Equity,,No,19921106,SOPAX,No,20060421,Merged,ClearBridge Dividend Strategy A,,,"6,815,059,769.1100000000",,,,,S&P 500 TR USD,,,,,
Berger Large Cap Growth,Janus Henderson,,FOUSA00E9J,19660801,Large Blend,U.S. Equity,,No,19910515,JNGIX,No,20030421,Merged,Janus Henderson Growth And Income T,,"171,927,722.0000000000","6,718,527,132.4400000000",,,,,S&P 500 TR USD,,,,,
Smith Barney Appreciation Z,Legg Mason,,FOUSA00COS,19921106,Large Blend,U.S. Equity,Inst,No,19700310,SHAPX,No,20030421,Merged,ClearBridge Appreciation I,,"287,806,882.0000000000","6,714,050,073.3400000000",,,,,S&P 500 TR USD,,,,,
Spectra A,Alger,,FOUSA00GZU,20000630,Large Growth,U.S. Equity,A,No,19690728,SPECX,No,20061017,Merged,Alger Spectra A,,"5,715,563.0000000000","6,432,288,575.5500000000",,4 Stars,,,S&P 500 TR USD,,,,,
MFS Research EA,MFS,,FOUSA02V8P,20020731,Large Blend,U.S. Equity,Other,No,19711013,MFRFX,No,20070321,Liquidated,,,"459,991.0000000000","6,354,796,962.6500000000",,2 Stars,,,S&P 500 TR USD,,,,,
MFS Research EB,MFS,EBRFX,FOUSA02V8Q,20020731,Large Blend,U.S. Equity,Other,No,19711013,MFRFX,No,20070321,Liquidated,,,"133,549.0000000000","6,354,796,962.6500000000",,2 Stars,,,S&P 500 TR USD,,,,,
MFS Research EC,MFS,ECRFX,FOUSA02V8R,20020731,Large Blend,U.S. Equity,Other,No,19711013,MFRFX,No,20070321,Liquidated,,,"334,078.0000000000","6,354,796,962.6500000000",,3 Stars,,,S&P 500 TR USD,,,,,
Heritage Diversified Growth B,Carillon Family of Funds,,FOUSA00G7G,19980820,Mid-Cap Growth,U.S. Equity,B,No,19980820,HAGAX,No,20070330,Merged,Carillon Eagle Mid Cap Growth A,,"12,520,405.0000000000","6,087,443,012.6600000000",,2 Stars,,,S&P 500 TR USD,,,,,
MFS® Massachusetts Investors Tr J,MFS,,FOUSA00L1C,19991231,Large Blend,U.S. Equity,Retirement,No,19240715,MITTX,No,20040629,Liquidated,,,"1,505,081.0000000000","6,073,228,205.3200000000",,,,,S&P 500 TR USD,,,,,
American AAdvantage Small Cp Val Milg,American Beacon,,FOUSA00959,19990301,Small Value,U.S. Equity,Other,No,19981231,AVFIX,No,20020301,Liquidated,,,"437,404.0000000000","5,937,370,483.5300000000",,,,,S&P 500 TR USD,,,,,
Victory Small Company Opportunity C,Victory,,FOUSA04APK,20030228,Small Value,U.S. Equity,C,No,19830816,GOGFX,No,20050131,Liquidated,,,"547,356.0000000000","5,612,336,329.9100000000",,,,,S&P 500 TR USD,,,,,
WM Short term Income B,Principal Funds,SQHQX,FOUSA00D56,19940802,Short-Term Bond,Taxable Bond,B,No,19931101,SRHQX,No,20060104,Merged,Principal Short-Term Income A,,"19,253,206.0000000000","5,458,099,260.0900000000",,1 Star,,,BBgBarc US Agg Bond TR USD,," -0.7740000000",0.4450000000,,
WM Short Term Income R1,Principal Funds,SPRCX,FOUSA05HE7,20060228,Short-Term Bond,Taxable Bond,Retirement,No,19931101,SRHQX,No,20070116,Merged,Principal Short-Term Income A,,10.0000000000,"5,458,099,260.0900000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
WM Short Term Income R2,Principal Funds,,FOUSA05HE8,20060228,Short-Term Bond,Taxable Bond,Retirement,No,19931101,SRHQX,No,20070116,Merged,Principal Short-Term Income A,,10.0000000000,"5,458,099,260.0900000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
WM Short-Term High-Qual S,Principal Funds,,FOUSA00MJE,19940729,Short-Term Bond,Taxable Bond,S,No,19931101,SRHQX,No,19990716,Merged,WM Short term Income B,,"1,276,220.0000000000","5,458,099,260.0900000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Harbor International II,Harbor,,FOUSA00KKE,19960603,Foreign Large Blend,International Equity,,No,19871229,HAINX,No,20021101,Merged,Harbor International Institutional,,"45,506,962.0000000000","5,406,246,611.7700000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
